split,selection_type,declaration_id,expected_regulation_id,confidence,alternative_regulation_id,rationale
dev,random,D0032,R0019,high,,"Совпадают сурими из рыбного фарша и мороженое состояние"
dev,random,D0056,R0172,high,R0173,"Синтетическое неотбеленное трикотажное полотно предназначено для тюлевых гардин"
dev,random,D0103,R0063,high,R0062,"Дата относится к периоду август-декабрь, а цена 410,25 доллара не ниже 396,84"
dev,random,D0119,R0228,medium,R0226,"Бурильная бесшовная труба из коррозионностойкой стали не проходит специальные пороги и условия соседних кодов"
dev,random,D0107,R0163,high,R0165,"Полиэфирное волокно прочесано и подготовлено для прядения"
dev,random,D0085,R0268,medium,R0269,"Режущая головка является частью водоструйной машины подсубпозиции 8456 50"
dev,random,D0012,R0133,high,R0135,"Резиновая конвейерная лента армирована только стальными тросами, текстильное армирование отсутствует"
dev,random,D0079,R0193,high,R0195,"Головной убор изготовлен из мехового фетра и сформован из шляпной заготовки"
dev,random,D0043,R0308,high,R0309,"Буксовый узел моторного вагона трамвая прямо соответствует осевым буксам и их частям"
dev,random,D0064,R0179,high,R0178,"Мужской трикотажный джемпер из химического акрилового волокна не имеет воротника поло"
dev,numbers,D0082,R0182,high,R0183,"Это гольфы для пациентов с варикозом из синтетической нити линейной плотностью 80 дтекс"
dev,negation,D0099,R0052,high,R0054,"Сырое нерафинированное растительное масло остается твердым и расфасовано по 500 г"
dev,materials,D0088,R0219,high,R0218,"Нержавеющая проволока содержит 8,2 мас.% никеля и не предназначена для авиационных двигателей"
dev,condition,D0023,R0311,high,R0312,"Бывший в эксплуатации дизель-электрический седельный тягач имеет возраст более 5, но не более 7 лет"
dev,low_lexical_score,D0040,R0127,high,R0129,"Полиуретан в первичной форме предназначен для защитного покрытия оптического волокна"
holdout,random,D0048,R0243,high,R0242,"Подвесной бензиновый лодочный двигатель имеет объем более 325 см3 и мощность более 30 кВт"
holdout,random,D0008,R0275,high,,"Карданный вал с двумя шарнирами соответствует категории шарнирных валов"
holdout,random,D0057,R0225,high,R0223,"Бесшовная нефтепроводная труба имеет диаметр более 406,4 мм и не предназначена для среды H2S"
holdout,random,D0046,R0315,medium,R0314,"Подержанный бензиновый автомобиль имеет объем не более 1000 см3 и не относится к возрастным категориям свыше 5 лет"
holdout,random,D0014,R0238,high,,"Поворотное колесо предназначено для офисной мебели"
